timestamp,suhu,kelembaban,tekanan
1598821200,23.6,100,1006.4
1598819400,23.5,100,1006.6
1598817600,23.8,100,1006.7
1598815800,24.1,100,1006.7
1598814000,24.1,99.9,1006.6
1598812200,24.3,99.4,1006.7
1598810400,24.4,99.4,1006.9
1598808600,24.5,98.5,1007.1
1598806800,24.7,99,1007.2
1598805000,24.7,98.8,1007.6
1598803200,24.9,98.3,1007.9
1598801400,25.1,97.8,1008.1
1598799600,25.3,96.7,1007.9
1598797800,25.7,95.8,1007.5
1598796000,25.7,96.1,1007.3
1598794200,25.9,95.1,1006.9
1598792400,26.2,93.5,1006.5
1598790600,26.7,91.7,1006.3
1598788800,27.4,88.1,1005.8
1598787000,28.1,84.3,1005.5
1598785200,29,79.8,1004.9
1598783400,30.5,75.9,1004.5
1598781600,30.6,74.1,1004.1
1598779800,30.7,73.4,1004
1598778000,30.9,73.8,1004
1598776200,32.6,65,1003.9
1598774400,35.6,49.7,1003.7
1598772600,35.2,52.6,1004
1598770800,36.1,49.5,1004.2
1598769000,35.2,51.8,1004.9
1598767200,35.6,51.1,1005.5
1598765400,35.8,50.7,1005.7
1598763600,35.6,52.3,1006.2
1598761800,35,55.8,1006.8
1598760000,34.3,60.4,1007.3
1598758200,33.2,63.2,1007.9
1598756400,32.7,66.6,1008.4
1598754600,32.4,68.4,1008.3
1598752800,30.2,80,1008.3
1598751000,29.6,81.3,1008.3
1598749200,28.2,86.1,1008.1
1598747400,26.6,92.2,1007.9
1598745600,24.7,97.1,1007.8
1598743800,23.6,100,1007.5
1598742000,23.1,100,1007
1598740200,23.2,100,1006.5
1598738400,23.4,100,1006.2
1598736600,23.4,100,1006.4
1598734800,23.3,100,1006.2
1598733000,23.5,100,1006
1598731200,23.6,100,1006.1
1598729400,23.8,100,1006.1
1598727600,24,100,1006.1
1598725800,24.4,100,1006.2
1598724000,24.6,100,1006.7
1598722200,24.7,99.7,1007.2
1598720400,24.9,99.6,1007.6
1598718600,24.9,99.4,1007.9
1598716800,24.8,99,1008.3
1598715000,24.7,98.8,1008.3
1598713200,24.9,98.3,1008.2
1598711400,25,97.8,1007.8
1598709600,25.3,96.4,1007.7
1598707800,25.3,96.2,1007.8
1598706000,25.6,94.3,1007.6
1598704200,25.6,94.8,1007.4
1598702400,26.3,91.7,1006.8
1598700600,26.7,96.2,1006.2
1598698800,27.7,91.5,1005.7
1598697000,28.3,88,1005.4
1598695200,28.8,86.2,1005.3
1598693400,29.4,83.6,1004.9
1598691600,28.1,87.4,1004.8
1598689800,27.9,86.9,1005.2
1598688000,28,87.9,1005.1
1598686200,27.1,91.7,1005.5
1598684400,27.8,87.2,1005.6
1598682600,26.4,96.4,1005.9
1598680800,25.5,98,1006.4
1598679000,25.2,98.7,1007.2
1598677200,25,97.9,1007.8
1598675400,25.4,95.6,1008
1598673600,30.5,70.4,1007.8
1598671800,33.3,61.6,1007.7
1598670000,32,67.8,1008.2
1598668200,31.4,72.2,1008
1598666400,31.7,69.4,1008.3
1598664600,29.1,77.5,1008.6
1598662800,28.7,80.9,1008.4
1598661000,27,87.1,1008
1598659200,25.3,92.1,1007.7
1598657400,23.2,98.5,1007.4
1598655600,22.7,99.4,1007.2
1598653800,22.6,99.5,1007.2
1598652000,22.3,99.8,1006.9
1598650200,22.3,99.3,1006.7
1598648400,22.1,99.2,1006.8
1598646600,22.6,99.2,1006.8
1598644800,22.7,98.8,1006.7
1598643000,22.9,98.3,1007
1598641200,22.8,97.6,1007.1
1598639400,23.3,96.3,1007.2
1598637600,23.6,94.6,1007.6
1598635800,24.3,91.4,1007.9
1598634000,24.7,89.3,1008
1598632200,24.2,90.9,1008.1
1598630400,24.3,90.2,1008.3
1598628600,24.7,88.3,1008.6
1598626800,25.1,86.1,1008.5
1598625000,25.6,83.2,1008.5
1598623200,25.8,82.3,1008.4
1598621400,26.2,80.7,1008.2
1598619600,26.4,79.3,1008
1598617800,26.4,79.6,1007.7
1598616000,27.3,74.2,1007.2
1598614200,28,69.2,1006.5
1598612400,29.3,62.4,1006.4
1598610600,30.7,56.5,1005.9
1598608800,32,51.8,1005.6
1598607000,33,48.5,1005.2
1598605200,33.3,47.3,1005
1598603400,34,44.3,1004.8
1598601600,34.6,44.5,1004.8
1598599800,34.4,45.4,1004.8
1598598000,34.8,46.8,1005.3
1598596200,35.3,42.6,1005.4
1598594400,34.3,48.5,1006
1598592600,35.3,45.8,1006.2
1598590800,34.7,48.7,1007
1598589000,33.6,56.1,1007.4
1598587200,33.2,58.8,1008.1
1598585400,31.4,64.1,1008.5
1598583600,31.5,63.4,1008.8
1598581800,31.6,63.5,1008.8
1598580000,30.1,67.4,1009.2
1598578200,28.4,75.4,1009.3
1598576400,27.3,77.2,1008.9
1598574600,27,77.5,1008.6
1598572800,25.3,80.9,1008.4
1598571000,23.2,87.1,1008
1598569200,22.7,92.1,1007.7
1598567400,22.6,98.5,1007.4
1598565600,22.3,99.4,1007.2
1598563800,22.3,99.5,1007.2
1598562000,22.1,99.8,1006.9
1598560200,22.6,99.3,1006.7
1598558400,22.7,99.2,1006.8
1598556600,22.9,99.2,1006.8
1598554800,22.1,98.8,1006.7
1598553000,22.3,98.3,1007
1598551200,22.6,93.9,1007.5
1598549400,22.5,93.7,1007.8
1598547600,22.6,94.1,1008
1598545800,22.7,94.8,1008.2
1598544000,23,95,1008.4
1598542200,23.5,93.5,1008.7
1598540400,23.6,92.9,1008.8
1598538600,23.8,91,1008.8
1598536800,23.8,90.5,1009.1
1598535000,24.5,91.3,1008.7
1598533200,25,88.9,1008.5
1598531400,25.8,85.6,1008.6
1598529600,26.6,82.6,1008.3
1598527800,27.9,76.5,1008.2
1598526000,29.5,70.8,1007.7
1598524200,31.4,63.2,1007.1
1598522400,32.6,57.2,1006.8
1598520600,33.9,53.8,1006.4
1598518800,34.3,51.7,1005.9
1598517000,35.4,46.6,1005.9
1598515200,35.3,44.5,1005.5
1598513400,34.5,45,1005.3
1598511600,36.3,43.3,1005.4
1598509800,34.7,45.7,1005.6
1598508000,33.6,41,1005.3
1598506200,33.2,44.5,1006
1598504400,33.7,53,1006.6
1598502600,32.1,53,1007
1598500800,33.2,52.9,1007.2
1598499000,31.8,59.2,1007.5
1598497200,31.7,55.6,1008.3
1598495400,29.4,62.6,1008.5
1598493600,29.1,65.9,1008.8
1598491800,27.6,73.9,1009.4
1598490000,26.2,77.6,1009.5
1598488200,24.7,81.4,1009.7
1598486400,23.4,86.1,1009.5
1598484600,22.4,90.3,1009.4
1598482800,22.2,95.3,1009
1598481000,22.2,98.2,1008.7
1598479200,22.2,98.4,1008.4
1598477400,22.1,98.6,1008.2
1598475600,22.5,98.6,1008
1598473800,22.6,98.8,1007.8
1598472000,22.7,97.9,1007.8
1598470200,22.7,98.2,1007.8
1598468400,22.7,98.1,1008
1598466600,23,98.4,1008.1
1598464800,23.4,98.4,1007.9
1598463000,23.7,97.1,1008
